tParent,ebomL1,itemMaterialCost,bomQty,totalCost
367A1234G008,111T2084G0001,2602.856833333,694.0,3886.414999994
367A1234G008,112T7022P0106,8300.0,2.0,16600.0
367A1234G008,121T9619G0004,4730.7912266640005,569.0,5636.867119993002
367A1234G008,146E2580G014,19648.409199999995,66.0,20731.248800002002
367A1234G008,356B2202G017,98333.201399998,995.74,200325.492800002
367A1234G008,362A1987G001,297.9262,9.0,842.5061999989999
367A1234G008,389A4104P001,5398.47,1.0,5398.47
367A1234G567,102T2488G001,1134.9399999989998,477.0,1660.6326666569996
367A1234G567,120T8158G0001,508265.832,593.0,526552.6452
367A1234G567,120T8161G0001,301504.5465333339,585.0,320301.666900092
367A1234G567,398A5548G0001,5205.747,12.0,15307.858299999998
367A3016G001,362A2202P001,21496.521333333,1.0,21496.521333333
367A3046G001,224B9190G002,4.17,9.0,26.336666669
367A3059G001,224B9190G001,3.166666667,5.0,12.666666668
367A3059G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3059G002,224B9190G001,3.166666667,5.0,12.666666668
367A3059G002,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3066G001,104L4736G003,6266.3940666670005,203.00008,4237.787253267334
367A3066G003,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3066G004,104L4736G003,6266.3940666670005,203.00008,4237.787253267334
367A3085G001,224B9190G002,4.17,9.0,26.336666669
367A3086G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3102G001,238B7759G005,1008.915433333,13.0,1278.661733332
367A3102G003,238B7759G005,1008.915433333,13.0,1278.661733332
367A3102G004,238B7759G005,1008.915433333,13.0,1278.661733332
367A3102G005,238B7759G005,1008.915433333,13.0,1278.661733332
367A3102G006,238B7759G005,1008.915433333,13.0,1278.661733332
367A3105G002,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3107G004,169B1019G004,225690.33020000393,1361.53,575467.9657333579
367A3107G004,332B6275G001,48227.108533333994,75.0,95357.21893333501
367A3123G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3140G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3144G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3162G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3162G002,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3166G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3172G001,224B9190G002,4.17,9.0,26.336666669
367A3172G002,224B9190G002,4.17,9.0,26.336666669
367A3172G003,224B9190G002,4.17,9.0,26.336666669
367A3211G001,104L4736G003,6266.3940666670005,203.00008,4237.787253267334
367A3214G001,166D1533G010,28416.012000002003,1020.00001,39896.75240002601
367A3217G002,224B9190G001,3.166666667,5.0,12.666666668
367A3225G001,238B7759G005,1008.915433333,13.0,1278.661733332
367A3229G002,224B9190G002,4.17,9.0,26.336666669
367A3252G001,117E3000G001,23762.479300001003,247.0,81063.25146669599
367A3252G002,117E3000G001,23762.479300001003,247.0,81063.25146669599
367A3272G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3293G001,227C5789G001,774.8038999999999,4.5,775.2408499999999
367A3297G001,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A3297G001,357A1826G018,7290.331466666999,252.0,9666.264300064
367A32KIG001,114T1886G0001,23005.148999999994,645.0,25474.002599994008
367A32KIG001,116T9018G0001,112244.97760000001,4795.0,161039.0264000002
367A32KIG001,116T9018G0003,67652.33683333504,3635.0,109750.81566669005
367A32KIG001,118T1601G0001,2028.478799997,168.0,5866.228799988001
367A32KIG001,120T6451G0001,250348.45189999504,10248.9,325342.94319996
367A32KIG003,114T3886G0001,47969.031200001,960.0,83284.32959985599
367A3308G006,188D8714G001,2109.9274,177.0,3513.045600029
367A3308G007,188D8714G001,2109.9274,177.0,3513.045600029
367A3341G001,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A3341G004,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A3344G002,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A3351G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3360G001,197C3666G004,14052.569399999998,59.0,19382.612166656996
367A3406G001,224B9190G001,3.166666667,5.0,12.666666668
367A3406G002,224B9190G001,3.166666667,5.0,12.666666668
367A3411G003,100T1657G015,4835.3651000009995,114.0,40891.48370000101
367A3411G003,107L5250G001,2669.2388,360.0,4841.711466684003
367A3411G003,108L3619G111,81800.0,12.0,81800.0
367A3411G003,108T4322G0001,16408.79653333199,16836.0,26836.52239999997
367A3411G003,108T4412G0001,1116166.1016000053,300.0,1173209.7210666803
367A3411G003,110T8838G0001,54428.99620000501,2616.0,62837.19859998301
367A3411G003,110T9219G0001,3035.040133336001,468.0,10130.114400063989
367A3411G003,111T0553G0001,15461.223099995997,2004.0,22383.268399926004
367A3411G003,111T2084G0001,10411.427333332,2776.0,15545.659999975993
367A3411G003,111T5351P0001,31876.381800000003,3.0,31876.381800000003
367A3411G003,111T6318G0001,1886.5737000000004,591.0,2989.4139000030004
367A3411G003,112L7105G0008,167828.0,16.0,260504.0
367A3411G003,112T3758G0001,11974.030599995986,5430.0,19346.96919997798
367A3411G003,112T4640G0001,9118.83,45.0,12343.83
367A3411G003,117E8205G008,28641.587799999,303.0,173403.80229999297
367A3411G003,133E8483G001,13619.270266664007,4920.0,21372.491199172007
367A3411G003,146E2580G014,78593.63680000005,264.0,82924.99520000801
367A3411G003,357A1826G049,12809.639066664007,744.0,18326.869600176004
367A3411G003,362A1987G001,893.7786,27.0,2527.518599997
367A3411G003,389A6686P213,82504.0,4.0,82504.0
367A3411G004,100T1657G015,1611.788366667,38.0,13630.494566667001
367A3411G004,101T4533G001,14624.940819999025,2688.0,16818.55099998901
367A3411G004,102T7871G001,263.34000000000003,6.0,263.34000000000003
367A3411G004,107L5250G001,2001.9291000000007,270.0,3631.283600013001
367A3411G004,108L3619G111,61350.0,9.0,61350.0
367A3411G004,108T3283G0001,876.6767999999998,195.0,2737.6015000019997
367A3411G004,108T4232G0001,421.37650000199994,78.0,946.100200011
367A3411G004,108T4322G0001,12306.597399998995,12627.0,20127.391799999976
367A3411G004,108T4412G0001,837124.5762000032,225.0,879907.2908000101
367A3411G004,108T6510G0001,1258.1078000010002,10791.0,10018.912300035006
367A3411G004,108T8054G0001,14728.487000000998,1950.0,17240.12659999801
367A3411G004,109T0432P001,0.0,3.0,0.0
367A3411G004,112L7105G0008,125871.0,12.0,195378.0
367A3411G004,117E8205G008,28641.587799999,303.0,173403.80229999297
367A3411G004,117E8907G104,71223.26106999608,101718.0,5762318.218359919
367A3411G004,146E2580G014,58945.22760000004,198.0,62193.74640000599
367A3411G004,357A1826G049,9607.229299998005,558.0,13745.152200131997
367A3411G004,389A6686P213,61878.0,3.0,61878.0
367A3411G007,100T1657G015,1611.788366667,38.0,13630.494566667001
367A3411G007,107L5250G001,667.3096999999999,90.0,1210.4278666709997
367A3411G007,108L3619G111,20450.0,3.0,20450.0
367A3411G007,108T4322G0001,12306.597399998995,12627.0,20127.391799999976
367A3411G007,110T8838G0001,18142.998733334996,872.0,20945.732866661005
367A3411G007,110T9219G0001,758.7600333339999,117.0,2532.5286000160004
367A3411G007,110T9461G0001,305810.98406666704,82.0,319332.923733333
367A3411G007,111T0553G0001,5153.741033332,668.0,7461.089466641999
367A3411G007,111T2084G0001,2602.856833333,694.0,3886.414999994
367A3411G007,111T5351P0001,10625.4606,1.0,10625.4606
367A3411G007,111T6318G0001,628.8579,197.0,996.471300001
367A3411G007,117E8205G008,9547.195933333001,101.0,57801.267433331006
367A3411G007,133E8483G001,3404.8175666660004,1230.0,5343.122799793
367A3411G007,146E2580G014,19648.409199999995,66.0,20731.248800002002
367A3411G007,357A1826G049,3202.4097666659995,186.0,4581.717400044
367A3411G007,362A1987G001,297.9262,9.0,842.5061999989999
367A3415G001,332B6275G001,48227.108533333994,75.0,95357.21893333501
367A3483G001,224B9190G001,3.166666667,5.0,12.666666668
367A3514G003,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3531G001,224B9190G002,4.17,9.0,26.336666669
367A3531G002,224B9190G002,4.17,9.0,26.336666669
367A3531G003,224B9190G002,4.17,9.0,26.336666669
367A3565G001,116E4203G001,10247.081133334,177.03651,20031.741133365
367A3565G002,116E4203G001,10247.081133334,178.03571,20031.741133365
367A3565G003,116E4203G001,10247.081133334,178.03571,20031.741133365
367A3565G004,116E4203G001,10247.081133334,178.03571,20031.741133365
367A3565G005,116E4203G001,10247.081133334,178.03571,20031.741133365
367A3580G001,357A1826G018,7290.331466666999,252.0,9666.264300064
367A3580G002,357A1826G018,7290.331466666999,252.0,9666.264300064
367A3580G003,357A1826G018,7290.331466666999,252.0,9666.264300064
367A3580G004,357A1826G018,7290.331466666999,252.0,9666.264300064
367A3580G005,357A1826G018,7290.331466666999,252.0,9666.264300064
367A3580G006,357A1826G018,7290.331466666999,252.0,9666.264300064
367A3580G007,357A1826G018,7290.331466666999,252.0,9666.264300064
367A3580G008,357A1826G018,7290.331466666999,252.0,9666.264300064
367A3630G001,149C5825G003,10482.9978,141.57999999999998,10488.880266671002
367A3631G001,224B9190G001,3.166666667,5.0,12.666666668
367A3638G001,224B9190G001,3.166666667,5.0,12.666666668
367A3638G002,224B9190G001,3.166666667,5.0,12.666666668
367A3643G001,224B9190G002,8.34,18.0,52.673333338
367A3643G002,224B9190G002,8.34,18.0,52.673333338
367A3643G003,224B9190G002,8.34,18.0,52.673333338
367A3643G004,143E4239G003,2111.876366667,385.0,5008.036133334
367A3643G005,143E4239G003,2111.876366667,385.0,5008.036133334
367A3643G006,105T5427G0004,537845.3857333388,3739.09002,631563.47142001
367A3643G006,112T3120G0001,320171.036899999,107.00001,338896.21610000497
367A3654G001,116E2600G022,1098.7376000010001,37.0,1931.212800012
367A3735G004,224B9190G002,4.17,9.0,26.336666669
367A3735G004,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3753G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3766G001,224B9190G001,3.166666667,5.0,12.666666668
367A3771G005,116E5252G008,1003011.9690666663,1480.0,1034476.6270000237
367A3771G005,143E4615G007,1986350.7603999984,3009.0,2707006.6361000226
367A3771G005,146E1405G002,66869.25359999997,507.8280000000002,71384.59739996697
367A3771G005,231D2651G003,68051.24380000199,513.0,76489.69160001
367A3771G009,100T8376G011,1678315.4907,2418.0,3418458.4323000005
367A3771G009,116E5252G008,1504517.9535999987,2220.0,1551714.9405000345
367A3771G009,143E4615G007,1986350.7603999984,3009.0,2707006.6361000226
367A3771G009,146E1405G002,66869.25359999997,507.8280000000002,71384.59739996697
367A3771G009,231D2651G003,68051.24380000199,513.0,76489.69160001
367A3781G001,116E2600G022,1098.7376000010001,37.0,1931.212800012
367A3796G003,104T4955G003,760161.8951666579,14642.86994999994,1376291.417166661
367A3796G003,114L2769G0148,613.038966666,701.0,1251.3839999399997
367A3796G003,122T2517G0001,943.190866666,201.0,1428.46799999
367A3796G003,146E3125G028,242702.09973334783,1456.0,1463530.1711999956
367A3796G004,103T4789G001,273628.0903333321,1080.0,274425.90486660996
367A3796G004,146E4756G016,610938.8368000002,772.28,614646.7036000004
367A3796G004,146E4860G002,207558.47999999998,690.0,207741.96000000002
367A3796G004,219B6374G001,2777.6164000000003,36.0,2777.6164000000003
367A3809G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3811G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3812G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3813G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3815G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3821G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3826G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3834G001,224B9190G002,4.17,9.0,26.336666669
367A3834G002,224B9190G002,4.17,9.0,26.336666669
367A3834G003,224B9190G002,4.17,9.0,26.336666669
367A3858G008,107T4932G001,4627979.9286,15.0,4627979.9286
367A3858G008,108T2975G001,1431.140506668,528.0,3842.2894667590003
367A3858G009,108T3278P0001,35687.311799999996,3.0,35687.311799999996
367A3858G009,108T3278P0002,181410.50160000002,3.0,181410.50160000002
367A3858G009,108T5289G0001,1073341.9450333333,42.0,1096307.5850333327
367A3858G009,985E0550G001,511941.604319997,8349.240000000002,604085.0822396218
367A3866G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A3867G001,224B9190G002,4.17,9.0,26.336666669
367A3871G001,151D8452G010,377.01983333300007,25.0,838.052266666
367A3896G001,116E4203G001,10247.081133334,178.03571,20031.741133365
367A3937G001,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A3944G001,224B9190G001,3.166666667,5.0,12.666666668
367A3948G001,119E1899G001,75063.31039999999,4.0,75063.31039999999
367A3952G001,224B9190G001,3.166666667,5.0,12.666666668
367A3957G009,103T9204G0001,64.9556,68.0,116.835766667
367A3980G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3983G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A3983G002,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4054G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4059G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4064G001,224B9190G001,3.166666667,5.0,12.666666668
367A4068G006,111E3164G001,6337.013516667001,211.0,7771.123600000999
367A4068G006,111E3165G001,3496.6332500000003,85.0,4738.21
367A4068G007,111E3164G001,6337.013516667001,211.0,7771.123600000999
367A4068G007,111E3165G001,3496.6332500000003,85.0,4738.21
367A4068G008,111E3164G001,6337.013516667001,211.0,7771.123600000999
367A4068G008,111E3165G001,3496.6332500000003,85.0,4738.21
367A4070G001,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A4123G005,100T4144G002,1677.2159999999997,1653.0,2367.0000004500002
367A4123G008,100T8376G011,7832138.956599998,11284.0,15952806.017399989
367A4123G008,102T4463G0002,673114.6333333387,1274.0,684581.4733333411
367A4123G008,102T9909G0001,2689562.5647332957,26481.0,3349071.3468326493
367A4123G008,108L9822G001,38691.42126667,7504.0,50742.82920002201
367A4123G008,109T4375G0001,52423.384600000005,10.0,52423.384600000005
367A4123G008,109T4579G0001,1045977.3174666893,9408.0,1120184.4392685995
367A4123G008,109T6154G0002,11503451.856866768,13720.0,11904548.822133552
367A4123G008,109T6339G0002,6057740.185466666,11368.0,6138547.390733322
367A4123G008,109T9196G0001,6305804.232933318,7147.0,7839897.97266708
367A4123G008,110T5209G0001,15404.522466662023,6398.0,20842.66053329606
367A4123G008,111L4183G001,704595.5,70.0,704595.5
367A4123G008,111T1667G0001,716.400266666,27.0,773.000266664
367A4123G008,112L1277G0081,48596.760733332005,22202.0,89720.3999952
367A4123G008,114L2769G0128,84448.15520000007,738.0,150538.253733402
367A4123G008,114T4652G0001,372926.0780666694,4080.0,595913.2871996311
367A4123G008,116E5252G008,7021083.783466656,10360.0,7241336.389000202
367A4123G008,120T6987G0001,28629.381480006996,9884.0,42572.599811007014
367A4123G008,121T5860G0001,489064.3279333381,2226.0,501843.2724000182
367A4123G008,146E1405G002,312056.51680000004,2369.863999999985,333128.1211998456
367A4123G008,231D2651G003,317572.4710666762,2394.0,356951.89413338015
367A4123G008,241C2882G014,239782.20233333835,11858.0,407564.04873333813
367A4123G008,377A4065P109,302819.0,11.0,302819.0
367A4123G008,389A4104P002,13633.212,2.0,13633.212
367A4123G010,102T4463G0002,384636.93333333544,728.0,391189.4133333354
367A4123G010,102T9909G0001,1536892.8941333126,15132.0,1913755.0553329445
367A4123G010,108L9822G001,154765.68506667993,30016.0,202971.31680008775
367A4123G010,109T4579G0001,597701.3242666796,5376.0,640105.3938677758
367A4123G010,109T6154G0002,6573401.0610667085,7840.0,6802599.326933465
367A4123G010,109T6339G0002,3461565.8202666696,6496.0,3507741.3661333267
367A4123G010,109T9196G0001,3603316.7045333353,4084.0,4479941.698666904
367A4123G010,110T5209G0001,8802.584266664006,3656.0,11910.09173331202
367A4123G010,111L4183G001,402626.0,40.0,402626.0
367A4123G010,112L1277G0081,194387.042933328,88808.0,358881.5999808001
367A4123G010,114L2769G0128,337792.6207999998,2952.0,602153.0149336075
367A4123G010,114T4652G0001,298340.8624533355,3264.0,476730.6297597035
367A4123G010,115T2690G0001,4210484.938399999,7128.768,4249633.135999998
367A4123G010,120T6987G0001,32719.293120008,11296.0,48654.39978400803
367A4123G010,121T5860G0001,1956257.3117333539,8904.0,2007373.0896000732
367A4123G010,231D2651G003,181469.98346667198,1368.0,203972.51093336006
367A4123G010,241C2882G014,137018.40133333625,6776.0,232893.74213333626
367A4123G010,389A4104P002,54532.848,8.0,54532.848
367A4199G002,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A4244G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4244G002,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4274G002,143E3890G001,2358.1632000000004,334.0,3516.29926667
367A4275G006,100T6852G011,17582171.722400058,2832.0,17638453.640799966
367A4275G006,101T7359G026,42352345.41559983,20324.09999999997,44513989.54373515
367A4275G007,100T8376G011,559438.4969000001,806.0,1139486.1441
367A4275G007,111L4970G001,503925.833,50.0,503925.833
367A4275G007,114T3162G0012,1695231.960900003,2166.0,3007838.6873666905
367A4275G007,115T2690G0001,526310.6173,891.096,531204.142
367A4275G007,115T2726G0001,322034.33619999996,316.0,324015.8867
367A4275G007,119T0270G0001,54748.86389999999,72.0,54748.86389999999
367A4275G007,231D2651G003,22683.747933334,171.0,25496.56386667
367A4275G007,372A4840P024,157229.0912,8.0,157229.0912
367A4279G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A4279G002,224B9190G002,4.17,9.0,26.336666669
367A4279G002,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A4301G003,143E4564G002,1480.116706668,1757.0,12772.552400278
367A4301G004,143E7303G005,4516001.343799996,5546.699999999999,5191084.995245079
367A4306G001,224B9190G001,3.166666667,5.0,12.666666668
367A4352G006,101T1327G001,101299.58220000101,300.0,216236.18340003098
367A4352G006,101T2065G001,20201.889133333,240.09089999999998,33079.504233333006
367A4352G006,101T2521G001,11169.613133333,196.07406,11741.847666665999
367A4352G008,101T2065G001,40403.77826666599,480.18179999999995,66159.008466666
367A4352G008,101T2521G001,22339.226266665995,392.14812,23483.695333331998
367A4352G008,105T6846G0001,1951.7048000000004,74.0,5947.164799999999
367A4352G008,119E2094G035,335664.39413333184,1128.12,385704.4734666018
367A4359G001,224B9190G001,3.166666667,5.0,12.666666668
367A4359G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A4385G013,101T4422G004,43696.833599999976,1692.0,115618.33546665806
367A4385G013,119T9593G0001,56712.0,50.0,97244.0
367A4385G013,204D3242G003,2142348.756079971,2926.0,2144614.528399977
